"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка полного флоу заказа через нижнюю кнопку","4451","Позитивный сценарий заказа самоката (нижняя кнопка)","tests","2026-08-20","passed","2026-08-20","TestOrder","test_order","",""
"При клике на каждый вопрос открывается соответствующий текст","1907","Проверка ответов на вопросы","tests","2026-08-20","passed","2026-08-20","TestFAQ","test_faq","",""
"При клике на каждый вопрос открывается соответствующий текст","1699","Проверка ответов на вопросы","tests","2026-08-20","passed","2026-08-20","TestFAQ","test_faq","",""
"При клике на каждый вопрос открывается соответствующий текст","1750","Проверка ответов на вопросы","tests","2026-08-20","passed","2026-08-20","TestFAQ","test_faq","",""
"Клик по логотипу Яндекса должен открывать Дзен в новом окне","2501","Проверка перехода на Дзен","tests","2026-08-20","passed","2026-08-20","TestLogo","test_logo","",""
"Проверка полного флоу заказа через верхнюю кнопку","4530","Позитивный сценарий заказа самоката (верхняя кнопка)","tests","2026-08-20","passed","2026-08-20","TestOrder","test_order","",""
"Проверка полного флоу заказа через нижнюю кнопку","4420","Позитивный сценарий заказа самоката (нижняя кнопка)","tests","2026-08-20","passed","2026-08-20","TestOrder","test_order","",""
"Проверка полного флоу заказа через верхнюю кнопку","4505","Позитивный сценарий заказа самоката (верхняя кнопка)","tests","2026-08-20","passed","2026-08-20","TestOrder","test_order","",""
"При клике на каждый вопрос открывается соответствующий текст","1895","Проверка ответов на вопросы","tests","2026-08-20","passed","2026-08-20","TestFAQ","test_faq","",""
"При клике на каждый вопрос открывается соответствующий текст","1807","Проверка ответов на вопросы","tests","2026-08-20","passed","2026-08-20","TestFAQ","test_faq","",""
"Клик по логотипу Самоката должен открывать главную страницу","1791","Проверка перехода на главную страницу Самоката","tests","2026-08-20","passed","2026-08-20","TestLogo","test_logo","",""
"При клике на каждый вопрос открывается соответствующий текст","2008","Проверка ответов на вопросы","tests","2026-08-20","passed","2026-08-20","TestFAQ","test_faq","",""
"При клике на каждый вопрос открывается соответствующий текст","1842","Проверка ответов на вопросы","tests","2026-08-20","passed","2026-08-20","TestFAQ","test_faq","",""
"При клике на каждый вопрос открывается соответствующий текст","1718","Проверка ответов на вопросы","tests","2026-08-20","passed","2026-08-20","TestFAQ","test_faq","",""
